"filename", "language", "Lua", "JSON", "JSON with Comments", "HTML", "PowerShell", "C++", "TypeScript", "JavaScript", "CSS", "Makefile", "Markdown", "LaTeX", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Executor.lua", "Lua", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 177
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Global.lua", "Lua", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 21
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Keyboard.lua", "Lua", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 14, 225
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Mouse.lua", "Lua", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 20, 214
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Player.lua", "Lua", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 20, 228
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Runtime.lua", "Lua", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 10, 138
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Setting.lua", "Lua", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 107
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Start.lua", "Lua", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 91
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Utility.lua", "Lua", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 46
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Weapon.lua", "Lua", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 24, 154
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\WeaponList.lua", "Lua", 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 258
"c:\Users\Silver\develop\CSOL-Utilities\source\Install.ps1", "PowerShell", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6
"c:\Users\Silver\develop\CSOL-Utilities\source\Main.lua", "Lua", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 12
"c:\Users\Silver\develop\CSOL-Utilities\source\include\CLI11.hpp", "C++", 0, 0, 0, 0, 0, 7954, 0, 0, 0, 0, 0, 0, 0, 0, 1524, 1521, 10999
"c:\Users\Silver\develop\CSOL-Utilities\source\include\CSOL_Utilities.hpp", "C++", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 115
"c:\Users\Silver\develop\CSOL-Utilities\source\include\Console.hpp", "C++", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\Silver\develop\CSOL-Utilities\source\include\Controller.hpp", "C++", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 86
"c:\Users\Silver\develop\CSOL-Utilities\source\include\DateTime.hpp", "C++", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Silver\develop\CSOL-Utilities\source\include\Event.hpp", "C++", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 46
"c:\Users\Silver\develop\CSOL-Utilities\source\include\EventList.hpp", "C++", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Silver\develop\CSOL-Utilities\source\include\Exception.hpp", "C++", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
